  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Italy;0.003;0.3;0.012;0.109;0.022;0.006;0.192;0.006;0.066;0.018
Western;0.728;0.012;0.038;0.005;0.016;0.018;0.046;0.089;0.039;0
increase;0.032;0.592;0.022;0.041;0.033;0.11;0;0.009;0.001;0.015
last;0.651;0.031;0.01;0.01;0.008;0.005;0;0.178;0.005;0.083
two;0.03;0.056;0.048;0.126;0.154;0.014;0.028;0.047;0.219;0
detections;0.193;0.01;0.116;0.102;0.003;0.019;0.003;0.233;0.002;0.023
first;0.191;0.273;0.003;0.126;0.247;0.057;0.035;0.047;0.004;0
over;0.029;0.194;0.049;0.012;0.192;0.149;0.267;0.018;0.005;0.013
Operation;0;0.322;0.026;0.142;0.034;0.055;0.161;0.141;0.017;0.054
activities;0.05;0.183;0.338;0.032;0.045;0.166;0.104;0.003;0.003;0.001
guards;0.007;0.003;0.079;0.001;0.361;0;0.041;0.103;0.129;0.026
one;0.084;0.058;0.207;0.027;0.058;0.355;0.012;0.021;0.01;0.035
it;0.137;0.109;0.025;0.026;0.107;0.4;0.018;0.02;0.001;0.001
Turkey;0.27;0.465;0.016;0.076;0.008;0.084;0.008;0.019;0.021;0.006
between;0.257;0.002;0.063;0;0.288;0.176;0.058;0.009;0.003;0.108
other;0.19;0.204;0.001;0.117;0.018;0.041;0.031;0.207;0.026;0.007
some;0.102;0.356;0.005;0.001;0.001;0.056;0.005;0.237;0.083;0.013
all;0.041;0.012;0.003;0.042;0.012;0.048;0.113;0.239;0.032;0.146
he;0.004;0.177;0.027;0.003;0.004;0.01;0.319;0.087;0.004;0.157
been;0.014;0.166;0.128;0.342;0;0.002;0.007;0.282;0;0.019
countries;0.007;0.12;0.245;0.041;0.128;0.012;0.001;0.197;0.175;0.013
new;0.061;0.001;0.021;0.301;0.384;0.143;0.011;0.026;0.001;0.009
most;0.001;0.599;0.197;0.043;0.012;0.006;0.014;0.017;0.033;0.008
operational;0.511;0.003;0.05;0.106;0.161;0.006;0;0.125;0.002;0
