"than";0.4125;2.62772;-0.01939;0.00861;-0.06202;0.15539;-0.05827;0.1603;0.02276;0.02911;-2e-05;0;-0.08753;0.72061;0.03379;0.12922;0.01095;0.01624;-0.02685;0.10139
"Leggeri";0.58255;3.342;-0.20761;0.62899;0.00879;0.00199;-0.20931;1.31888;-0.0254;0.02314;0.02665;0.03613;-0.04149;0.10324;0.0161;0.0187;0.06143;0.32593;0.02315;0.04809
"more";0.23896;0.96806;-0.01886;0.00893;-0.06837;0.2073;-0.07024;0.25568;0.0387;0.09242;-0.02197;0.04229;-0.00203;0.00042;0.03116;0.1206;0.00656;0.00641;0;0
"officers";0.30456;1.20927;-0.16135;0.50295;0.07145;0.17409;-0.01273;0.00645;-0.04777;0.10833;-0.03605;0.08755;0.23621;4.43048;0.00295;0.00083;0.12079;1.6684;-0.07916;0.74417
"Greek";0.35694;1.22614;-0.49889;3.54944;0.03328;0.02788;0.00492;0.00071;0.09041;0.28641;-0.23735;2.80184;0.13971;1.14418;0.02663;0.05;0.03124;0.08238;0.02159;0.04087
"people";0.38137;1.38346;-0.3668;1.89642;0.02928;0.02134;-0.20211;1.18769;-0.04303;0.06414;-0.08554;0.35972;-0.09091;0.47884;-0.08736;0.53204;0.05267;0.23141;-0.01783;0.02755
"Director";0.1823;0.48903;-0.05116;0.05708;0.13556;0.70739;-0.04117;0.07624;-0.05134;0.14123;-0.05862;0.26131;0.08295;0.61672;0.00534;0.00308;-0.00249;8e-04;0.09345;1.17083
"that";-0.10694;0.27641;0.00603;0.0013;0.0317;0.06355;-0.0056;0.00231;0.05119;0.23059;0.01211;0.01832;0.12185;2.18601;0.03328;0.19614;-0.04593;0.4473;0.03754;0.31036
"Greece";0.25608;0.74118;-0.34713;2.01823;0.04556;0.06138;0.05842;0.11791;0.12439;0.63672;-0.25516;3.80308;0.19342;2.57551;0.01601;0.02123;-0.01392;0.0192;0.04727;0.23008
"are";-0.13638;0.39133;-0.03967;0.04907;0.01306;0.00938;-0.00926;0.00551;0.04986;0.19039;-0.05016;0.27361;0.12602;2.03498;0.05388;0.44751;0.02981;0.16392;0.04254;0.34691
"have";0.00978;0.00147;-0.14882;0.50313;0.06123;0.15034;0.09695;0.44045;0.03902;0.08499;-0.01604;0.02039;0.0898;0.75298;0.07668;0.66053;0.08804;1.04234;0.0395;0.21797
"this";0.06211;0.09043;0.09127;0.28943;-0.02561;0.04023;-0.03527;0.08915;0.09405;0.75503;-0.00911;0.01004;-0.0036;0.00185;0.00393;0.00265;0.02085;0.08938;-0.08311;1.47524
"also";0.00254;0.00011;-0.05888;0.09082;0.0455;0.09574;-0.06144;0.20404;0.006;0.00232;-0.00666;0.00405;0.02547;0.06986;-0.00226;0.00066;-0.02573;0.10263;0.02856;0.13138
"its";0.15364;0.38436;0.02071;0.01035;-0.06469;0.17824;0.1;0.49769;-0.04062;0.09783;0.09255;0.72077;0.0324;0.1041;0.05879;0.41247;0.02325;0.07717;0.02342;0.08136
"European";0.13375;0.65663;0.31153;5.27863;0.06863;0.4523;-0.02478;0.06889;0.0246;0.0809;0.01105;0.02316;-0.02871;0.18432;-0.06134;1.01222;0.04443;0.63555;0.05615;1.0542
"Executive";0.18989;0.49231;-0.05118;0.05299;0.11826;0.49952;-0.03244;0.04391;-0.02745;0.03745;-0.03812;0.10253;0.08191;0.55791;0.01166;0.01361;-0.01706;0.03485;0.09033;1.01483
"part";0.2153;0.50835;-0.13533;0.29761;0.14221;0.58017;-0.06052;0.1228;0.00764;0.00233;-0.00546;0.00169;0.00167;0.00019;0.08133;0.53158;0.14327;1.97444;0.04825;0.23257
"said";0.25434;0.65874;-0.19682;0.58456;0.08721;0.20263;-0.03594;0.0402;0.0315;0.0368;-0.1186;0.7403;0.12548;0.97662;0.087;0.56482;0.00849;0.00643;0.09733;0.87889
"year";0.31617;1.75624;0.14787;0.56928;-0.11597;0.6181;-0.03199;0.05496;-0.00349;0.00078;0.06064;0.33393;-0.02174;0.05058;0.05487;0.38762;-0.08231;1.04401;-0.06516;0.67954
"which";-0.06351;0.05867;-0.09808;0.20739;0.0065;0.00161;0.04125;0.07566;-0.00525;0.00146;0.04156;0.12988;-0.05886;0.307;0.13506;1.94479;0.08101;0.83732;-0.06654;0.58672
"who";0.28369;0.76102;-0.2416;0.81793;-0.09518;0.22409;-0.10455;0.31595;0.02517;0.02182;-0.03799;0.07055;0.13179;1.00037;0.00087;5e-05;0.15239;1.92603;-0.08288;0.59179
"operations";0.05637;0.03573;-0.18098;0.54585;0.04918;0.07116;-0.0584;0.11724;0.00323;0.00043;0.06858;0.27333;0.13409;1.23165;0.03949;0.1285;-0.02386;0.05616;0.00032;1e-05
"Fabrice";0.59727;2.73455;-0.10551;0.12645;0.01122;0.00252;-0.18933;0.83991;-0.01649;0.00759;0.03106;0.03822;-0.02449;0.028;0.02322;0.03028;0.12027;0.97254;0.04546;0.14432
