"id","title","date"
"frontex-holds-23rd-international-border-police-conference-SaIsg2","Frontex holds 23rd International Border Police Conference","2017-11-08"
"frontex-holds-annual-training-conference-to-discuss-educational-technology-xKZ8dz","Frontex holds annual training conference to discuss educational technology","2017-10-05"
"frontex-holds-conference-of-heads-of-international-airports-4GzraU","Frontex holds conference of heads of international airports","2017-03-07"
"frontex-holds-workshop-on-traveller-risk-assessment-at-amsterdam-s-schiphol-airport-b2tL09","Frontex holds workshop on traveller risk assessment at Amsterdam’s Schiphol Airport","2019-06-18"
"frontex-honours-the-memory-of-its-first-executive-director-ilkka-laitinen-6XjAPt","Frontex honours the memory of its first Executive Director Ilkka Laitinen","2019-09-30"
"frontex-hosts-1st-european-coast-guard-cooperation-network-meeting-U8iGMu","Frontex hosts 1st European Coast Guard Cooperation Network Meeting","2016-11-08"
"frontex-hosts-7th-annual-european-day-for-border-guards-RD6Lmf","Frontex hosts 7th annual European Day for Border Guards","2016-05-25"
"frontex-hosts-8th-european-day-for-border-guards-lhjRAI","Frontex hosts 8th European Day for Border Guards","2017-06-13"
"frontex-hosts-ambassadors-in-warsaw-kBvUZo","Frontex hosts ambassadors in Warsaw","2016-09-30"
"frontex-hosts-conference-on-biometrics-in-warsaw-889K4E","Frontex hosts conference on biometrics in Warsaw","2019-10-09"
"frontex-hosts-customs-cooperation-working-party-pssWMX","Frontex hosts Customs Cooperation Working Party","2016-06-29"
"frontex-hosts-european-border-and-coast-guard-day-eJnxSD","Frontex hosts European Border and Coast Guard Day","2019-05-29"
"frontex-hosts-european-border-and-coast-guard-day-to-discuss-security-at-sea-vb539m","Frontex hosts European Border and Coast Guard Day to discuss security at sea","2018-05-25"
"frontex-hosts-expert-group-on-document-fraud-RdATdJ","Frontex hosts expert group on document fraud","2017-11-14"
"frontex-hosts-gathering-of-top-airport-officials-responsible-for-border-control-YblfPr","Frontex hosts gathering of top airport officials responsible for border control","2019-06-05"
"frontex-hosts-inter-agency-conference-on-combating-trafficking-in-human-beings-HjaZFN","Frontex hosts Inter-Agency Conference on Combating Trafficking in Human Beings","2008-11-28"
"frontex-hosts-iom-visit-CHx2KO","Frontex hosts IOM visit","2008-12-02"
"frontex-hosts-meeting-of-africa-frontex-intelligence-community-afic--PnHfGe","Frontex hosts meeting of Africa-Frontex Intelligence Community (AFIC)","2016-09-22"
"frontex-hosts-workshop-on-return-operations-as-part-of-ipaii-project-0a30sZ","Frontex hosts workshop on return operations as part of IPAII project","2017-06-01"
"frontex-icmpd-europol-conference-on-mixed-migration-flows-MS446D","Frontex-ICMPD-Europol Conference on Mixed Migration Flows","2008-02-01"
"frontex-introduces-new-set-up-for-partnership-academies-network-kDNL2W","Frontex introduces new set-up for Partnership Academies Network","2017-03-08"
"frontex-issues-call-for-trainers-for-standing-corps-basic-training-programme-T3Su4u","Frontex issues call for trainers for standing corps basic training programme","2020-02-07"
"frontex-joined-an-advertising-campaign-of-28-eu-agencies-kRjzOj","Frontex joined an advertising campaign of 28 EU Agencies","2006-12-01"
"frontex-launches-a-course-on-automated-border-control-inAIUK","Frontex launches a course on automated border control","2017-03-14"
"frontex-launches-a-series-of-webcasts-on-border-management-4uLqeJ","Frontex launches a series of webcasts on border management","2018-06-12"
"frontex-launches-call-for-participation-of-the-eu-member-states-in-joint-operation-triton-b9nupQ","Frontex launches call for participation of the EU Member States in Joint Operation Triton","2014-09-26"
"frontex-launches-capacity-building-project-for-africa-during-afic-meeting-g3JfQJ","Frontex launches capacity building project for Africa during AFIC meeting","2017-09-29"
"frontex-launches-first-operation-in-western-balkans-znTNWM","Frontex launches first operation in Western Balkans","2019-05-21"
"frontex-launches-joint-operation-triton-JSYpL7","Frontex launches Joint Operation Triton","2014-10-31"
"frontex-launches-new-master-s-programme-vqtoEN","Frontex launches new Master's Programme","2015-09-07"
"frontex-launches-rapid-border-intervention-on-greek-land-border-J7k21h","Frontex launches rapid border intervention on Greek land border","2020-03-13"
"frontex-launches-rapid-operational-assistance-in-greece-u3rqPy","Frontex launches rapid operational assistance in Greece","2015-12-29"
"frontex-launches-talks-on-possible-use-of-remote-piloted-aircraft-systems-0m4b2c","Frontex launches talks on possible use of remote piloted aircraft systems","2016-04-15"
"frontex-launching-new-operation-in-central-med-yKqSc7","Frontex launching new operation in Central Med","2018-02-01"
"frontex-leads-international-operation-against-organised-crime-at-eu-s-land-borders-bGpyTh","Frontex leads international operation against organised crime at EU’s land borders","2017-07-20"
"frontex-looks-at-new-border-surveillance-technologies-ZjjLwv","Frontex looks at new border surveillance technologies","2017-05-12"
"frontex-management-board-meets-with-partners-from-the-western-balkans-1wf8k8","Frontex Management Board meets with partners from the Western Balkans","2019-06-12"
"frontex-marks-two-years-as-the-european-border-and-coast-guard-agency-ECWley","Frontex marks two years as the European Border and Coast Guard Agency","2018-10-06"
"frontex-mid-level-course-for-border-guard-officers-started-in-lubeck-germany-MI42Xc","Frontex Mid Level Course for border guard officers started in Lübeck, Germany","2007-03-13"
"frontex-new-premises-just-opened-WgUAyv","Frontex New Premises Just Opened","2007-03-27"
"frontex-not-involved-in-today-s-plane-crash-in-malta-Zqu6jZ","Frontex not involved in today's plane crash in Malta","2016-10-24"
"frontex-offers-additional-help-to-greece-qeFedV","Frontex offers additional help to Greece","2015-09-08"
"frontex-offers-funding-for-development-and-delivery-of-training-activities-USCCo3","Frontex offers funding for development and delivery of training activities","2019-04-17"
"frontex-offers-funding-for-development-and-delivery-of-training-courses-Gvs7kI","Frontex offers funding for development and delivery of training courses","2017-06-13"
"frontex-offers-funding-for-development-of-ibm-products-and-tools-rqFCr3","Frontex offers funding for development of IBM products and tools","2018-05-18"
"frontex-offers-funding-to-institutions-providing-education-and-training-to-border-guards-dcZWBE","Frontex offers funding to institutions providing education and training to border guards","2016-08-02"
"frontex-opens-first-risk-analysis-cell-in-niger-HQIoKi","Frontex opens first risk analysis cell in Niger","2018-11-27"
"frontex-opens-risk-analysis-cell-in-senegal-6nkN3B","Frontex opens Risk Analysis Cell in Senegal","2019-06-13"
"frontex-operational-office-opens-in-piraeus-hk4q3Z","Frontex Operational Office Opens in Piraeus","2010-10-01"
"frontex-organises-debate-on-human-rights-in-training-of-border-guards-uKuFgR","Frontex organises debate on human rights in training of border guards","2008-11-27"
"frontex-organises-the-first-course-for-schengen-evaluators--KcQOxQ","Frontex organises the first course for Schengen evaluators ","2009-05-11"
"frontex-organises-third-operational-heads-of-airports-conference-CJcScB","Frontex Organises Third Operational Heads of Airports Conference","2011-03-03"
"frontex-organises-workshop-for-monitors-of-joint-return-operations-2s0swb","Frontex organises workshop for monitors of joint return operations","2016-06-29"
"frontex-photo-competition-results-ig5D8N","Frontex Photo Competition Results","2013-05-08"
"frontex-plays-key-role-in-operation-against-crime-in-western-balkans-sIgRPx","Frontex plays key role in operation against crime in Western Balkans","2019-09-10"
"frontex-presents-guide-on-access-to-the-asylum-procedure-on-world-refugee-day-bePNdo","Frontex presents guide on access to the asylum procedure on World Refugee Day","2016-06-20"
"frontex-publishes-africa-frontex-intelligence-community-afic-report-5K2fXQ","Frontex publishes Africa-Frontex Intelligence Community (AFIC) Report","2016-01-28"
"frontex-publishes-africa-frontex-intelligence-community-afic-report-aT7A9Z","Frontex publishes Africa-Frontex Intelligence Community (AFIC) Report","2017-04-06"
"frontex-publishes-analyses-for-the-western-balkans-in-2017-and-first-quarter-of-2018-wSsUjH","Frontex publishes analyses for the Western Balkans in 2017 and first quarter of 2018","2018-08-07"
"frontex-publishes-analysis-for-eastern-partnership-for-q1-iLejtn","Frontex publishes analysis for Eastern Partnership for Q1","2016-07-04"
"frontex-publishes-analysis-for-western-balkans-for-q1-fyC8yc","Frontex publishes analysis for Western Balkans for Q1","2016-07-01"
"frontex-publishes-analysis-of-borders-in-the-western-balkans-for-q3-RgTWDN","Frontex publishes analysis of borders in the Western Balkans for Q3","2016-01-19"
"frontex-publishes-analysis-of-eastern-borders-for-q2-G9vfSE","Frontex publishes analysis of Eastern borders for Q2","2015-10-08"
"frontex-publishes-analysis-of-eu-s-eastern-borders-for-q3-MquFau","Frontex publishes analysis of EU’s eastern borders for Q3","2016-01-15"
"frontex-publishes-annual-risk-analysis-2014-wc71Jn","Frontex Publishes Annual Risk Analysis 2014","2014-05-15"
"frontex-publishes-annual-risk-analysis-2015-lA1x1g","Frontex publishes Annual Risk Analysis 2015","2015-04-28"
"frontex-publishes-eastern-european-borders-annual-risk-analysis-2014-8pfjcb","Frontex publishes Eastern European Borders Annual Risk Analysis 2014","2014-07-10"
"frontex-publishes-report-on-second-global-abc-conference-pGtMYo","Frontex Publishes Report on Second Global ABC Conference","2014-01-21"
"frontex-publishes-risk-analysis-for-2016-NQuBFv","Frontex publishes Risk Analysis for 2016","2016-04-05"
"frontex-publishes-risk-analysis-for-2017-CpJiC8","Frontex publishes Risk Analysis for 2017","2017-02-15"
"frontex-publishes-risk-analysis-for-2018-9UxpCV","Frontex publishes Risk Analysis for 2018","2018-02-20"
"frontex-publishes-risk-analysis-for-2019-Dh6Wkf","Frontex publishes Risk Analysis for 2019","2019-02-20"
"frontex-publishes-study-on-ethics-in-border-security-iXGzI6","Frontex publishes Study on Ethics in Border Security","2011-04-29"
"frontex-publishes-vega-handbook-children-at-airports-bvtPly","Frontex publishes VEGA Handbook: Children at airports","2015-08-28"
"frontex-publishes-western-balkans-annual-risk-analysis-2014-fnd3Eh","Frontex publishes Western Balkans Annual Risk Analysis 2014","2014-07-21"
"frontex-publishes-western-balkans-annual-risk-analysis-2015-dCUqfL","Frontex publishes Western Balkans Annual Risk Analysis 2015","2015-05-12"
"frontex-publishes-western-balkans-risk-analysis-2016-0LoCA0","Frontex publishes Western Balkans Risk Analysis 2016","2016-06-10"
"frontex-rabit-deployment-to-greece-extended-until-march-2011-4dbY6K","Frontex RABIT Deployment to Greece Extended Until March 2011","2010-12-07"
"frontex-reaches-milestone-in-return-operations-CHBRdU","Frontex reaches milestone in return operations","2018-07-09"
"frontex-ready-to-implement-european-council-conclusions-executive-director-fh9MEr","Frontex ready to implement European Council conclusions - Executive Director","2015-04-23"
"frontex-releases-report-on-unaccompanied-minors-in-european-migration-KuQSlC","Frontex Releases Report on Unaccompanied Minors in European Migration","2010-12-13"
"frontex-requests-more-information-on-symi-incident-YmXP7D","Frontex requests more information on Symi incident","2015-08-31"
"frontex-rescues-more-than-1400-migrants-over-easter-weekend-l88LOD","Frontex rescues more than 1400 migrants over Easter weekend","2017-04-17"
"frontex-responds-to-the-european-ombudsman-8oCMDO","Frontex responds to the European Ombudsman","2012-05-23"
"frontex-risk-analysis-report-for-q1-2014-published-LyEPZo","Frontex Risk Analysis Report for Q1 2014 published","2014-08-14"
"frontex-rolls-out-its-own-patrol-cars-in-operations-Fiwwui","Frontex rolls out its own patrol cars in operations","2019-05-24"
"frontex-s-cooperation-with-icmpd-enters-into-force-Ldai15","Frontex’s cooperation with ICMPD enters into force","2009-06-29"
"frontex-s-participation-in-mos-maiorum-BOeKrL","Frontex’s participation in Mos Maiorum","2014-10-10"
"frontex-s-patronage-over-the-conference-freedom-and-security-europe-without-borders--n71ew3","Frontex’s patronage over the Conference „Freedom and Security: Europe Without Borders”","2007-04-03"
"frontex-s-reaction-to-hrw-report-uw7Qqq","Frontex's Reaction to HRW report","2011-09-21"
"frontex-seeking-external-experts-dXq0xI","Frontex seeking external experts","2016-01-26"
"frontex-seeks-1-500-police-officers-50-readmission-officers-for-greece-ayU667","Frontex seeks 1 500 police officers, 50 readmission officers for Greece","2016-03-21"
"frontex-selects-9-civil-society-organisations-for-consultative-forum-on-fundamental-rights-Zggq5W","Frontex selects 9 civil society organisations for Consultative Forum on Fundamental Rights","2015-09-10"
"frontex-selects-the-first-group-of-future-members-of-its-standing-corps-wN1BM4","Frontex selects the first group of future members of its standing corps","2020-05-20"
"frontex-sends-first-liaison-officer-to-eu-member-state-E21l7y","Frontex sends first liaison officer to EU Member State","2018-08-31"
"frontex-signs-a-memorandum-of-understanding-with-turkey-UBa8Ya","Frontex signs a Memorandum of Understanding with Turkey","2012-05-28"
"frontex-signs-framework-training-agreements-with-five-new-member-states-hzJydg","Frontex Signs Framework Training Agreements with Five New Member States","2011-03-03"
"frontex-signs-seat-agreement-with-greece-9DrT7S","Frontex signs seat agreement with Greece","2010-08-02"
"frontex-signs-working-arrangement-with-armenia-5wWRZk","Frontex signs Working Arrangement with Armenia","2012-02-23"
"frontex-signs-working-arrangement-with-canada-Ko5rN4","Frontex signs working arrangement with Canada","2010-10-21"
"frontex-signs-working-arrangement-with-cape-verde-CaYZGx","Frontex signs Working Arrangement with Cape Verde","2011-01-17"
"frontex-signs-working-arrangement-with-cepol-oQuPz4","Frontex signs Working Arrangement with CEPOL","2009-07-02"
"frontex-signs-working-arrangement-with-interpol-JUWRpk","Frontex signs Working Arrangement with Interpol","2009-05-29"
"frontex-signs-working-arrangement-with-kosovo-u1FpiJ","Frontex signs working arrangement with Kosovo","2016-05-25"
"frontex-signs-working-arrangement-with-montenegro-aicfht","Frontex signs Working Arrangement with Montenegro","2009-06-18"
"frontex-signs-working-arrangement-with-nigeria-JyDdE8","Frontex signs Working Arrangement with Nigeria","2012-01-19"
"frontex-signs-working-arrangement-with-state-border-service-of-azerbaijan-NuexEl","Frontex Signs Working Arrangement with State Border Service of Azerbaijan","2013-04-16"
"frontex-signs-working-arrangement-with-unodc-gmFWjI","Frontex signs working arrangement with UNODC","2012-04-23"
"frontex-starts-talks-on-a-working-arrangement-with-authorities-in-kosovo--i2fggD","Frontex starts talks on a working arrangement with authorities in Kosovo*","2016-01-21"
"frontex-strengthens-surveillance-in-croatia-k3u6uv","Frontex strengthens surveillance in Croatia","2018-07-25"
"frontex-supports-seizure-of-cocaine-by-portuguese-authorities-1E3lgQ","Frontex supports seizure of cocaine by Portuguese authorities","2019-02-01"
"frontex-supports-the-fight-against-trafficking-in-human-beings-VwidGT","Frontex supports the fight against trafficking in human beings","2018-07-30"
"frontex-takes-first-step-towards-creating-european-coast-guard-mBv0fw","Frontex takes first step towards creating European coast guard","2016-11-30"
"frontex-teams-up-with-eunavfor-med-and-europol-to-track-down-cross-border-crime-v8oqKs","Frontex teams up with EUNAVFOR Med and Europol to track down cross-border crime","2018-07-05"
"frontex-teams-up-with-interpol-to-track-down-foreign-terrorist-fighters-9SedgZ","Frontex teams up with INTERPOL to track down foreign terrorist fighters","2019-09-20"
"frontex-temporarily-suspends-registration-activities-on-chios-due-to-concerns-over-asbestos-contamination-gqMedB","Frontex temporarily suspends registration activities on Chios due to concerns over asbestos contamination","2015-12-18"
"frontex-testing-the-future-of-border-checks-at-lisbon-airport-DI84r4","Frontex testing the future of border checks at Lisbon airport","2019-10-04"
"frontex-the-european-border-and-coast-guard-agency-after-one-year-BJMHvS","Frontex, the European Border and Coast Guard Agency, after one year","2017-10-06"
"frontex-to-assist-greece-with-registration-of-migrants-at-its-land-border-9Qg48q","Frontex to assist Greece with registration of migrants at its land border","2015-12-03"
"frontex-to-assist-poland-with-border-checks-during-world-cup-XfOQx7","Frontex to assist Poland with border checks during World Cup","2018-06-12"
"frontex-to-begin-collecting-personal-data-in-greece-on-suspected-criminals-gJzx8D","Frontex to begin collecting personal data in Greece on suspected criminals","2016-11-22"
"frontex-to-boost-recruitment-in-2017-4wA98f","Frontex to boost recruitment in 2017","2017-02-22"
"frontex-to-deploy-175-specialist-border-personnel-to-greece-9neidF","Frontex to Deploy 175 Specialist Border Personnel to Greece","2010-10-29"
"frontex-to-deploy-liaison-officer-in-western-balkans-r8CFKb","Frontex to deploy liaison officer in Western Balkans","2016-11-28"
"frontex-to-implement-border-surveillance-services-as-part-of-copernicus-Z1r4A0","Frontex to implement border surveillance services as part of Copernicus","2015-12-17"
"frontex-to-launch-an-operation-during-eurocup-2012-ORgk0G","Frontex to launch an operation during Eurocup 2012","2012-05-18"
"frontex-to-launch-rapid-border-intervention-at-greece-s-external-borders-NL8HaC","Frontex to launch rapid border intervention at Greece’s external borders","2020-03-02"
"frontex-to-play-central-role-in-new-eu-travel-authorisation-system-ErA8DD","Frontex to play central role in new EU travel authorisation system","2018-10-09"
"frontex-to-provide-border-security-expertise-to-european-commission-s-research-projects-ZrCBoM","Frontex to provide border security expertise to European Commission’s research projects","2020-02-06"
"frontex-to-reinforce-its-activities-in-bulgaria-PkLluH","Frontex to reinforce its activities in Bulgaria","2016-08-05"
"frontex-to-restructure-its-office-in-greece-ShsH5z","Frontex to restructure its office in Greece","2015-11-26"
"frontex-to-stream-master-s-on-the-road-webcast-6SFExy","Frontex to stream Master’s on the Road webcast","2018-10-15"
"frontex-to-strengthen-operations-in-greece-and-launch-additional-activities-on-land-borders-a21yH2","Frontex to strengthen operations in Greece and launch additional activities on land borders","2015-10-26"
"frontex-trained-250-experts-from-western-balkans-and-turkey-Pmzvkk","Frontex trained 250 experts from Western Balkans and Turkey","2019-05-17"
"frontex-trains-border-guards-as-part-of-mid-level-management-course-m5QVIH","Frontex trains border guards as part of Mid-level Management Course","2017-03-03"
"frontex-trains-screening-officers-in-riga-QSurjP","Frontex trains screening officers in Riga","2016-08-26"
"frontex-unhcr-reinforced-cooperation-a0Yf4h","Frontex - UNHCR: reinforced cooperation","2008-06-18"
"frontex-updates-key-training-document-for-eu-border-and-coast-guard-officers-InEY1T","Frontex updates key training document for EU border and coast guard officers","2017-06-20"
"frontex-vessel-plays-key-role-in-rescue-of-hundreds-of-people-off-lesbos-q1cQJ3","Frontex vessel plays key role in rescue of hundreds of people off Lesbos","2015-10-29"
"frontex-vessel-rescues-487-migrants-in-italy-over-the-weekend-haWei2","Frontex vessel rescues 487 migrants in Italy over the weekend","2015-09-28"
"frontex-welcomes-european-parliament-vote-on-european-border-and-coast-guard-tQmLpF","Frontex welcomes European Parliament vote on European Border and Coast Guard","2016-07-06"
"frontex-welcomes-first-standing-corps-recruits-h2LxJD","Frontex welcomes first standing corps recruits","2020-06-17"
"frontex-welcomes-new-class-of-joint-master-s-programme-d2ICWm","Frontex welcomes new class of Joint Master’s programme","2019-09-06"
"frontex-welcomes-new-participants-of-its-joint-master-s-programme-nr9FF8","Frontex welcomes new participants of its Joint Master’s programme","2017-09-13"
"frontex-welcomes-pledges-to-boost-operations-triton-and-poseidon-U6vDFW","Frontex welcomes pledges to boost operations Triton and Poseidon","2015-04-23"
"german-helicopter-deployed-by-frontex-helped-in-arrest-of-suspected-drug-smugglers-JdRmFb","German helicopter deployed by Frontex helped in arrest of suspected drug smugglers","2016-07-01"
"global-abc-conference-and-exhibition-IsBF4h","Global ABC Conference and Exhibition","2012-07-13"
"global-conference-on-the-future-of-border-checks-2015-ntt976","Global Conference on the Future of Border Checks 2015","2015-06-16"
"global-conference-on-the-future-of-border-checks-HTcUwn","Global Conference on the Future of Border Checks","2015-04-08"
"go-ahead-for-nautilus-2008-M1QUcT","Go ahead for Nautilus 2008","2008-05-07"
"graduation-of-the-first-class-of-frontex-joint-master-s-programme-dFq1ns","Graduation of the first class of Frontex Joint Master’s programme","2017-06-07"
"greece-and-italy-continued-to-face-unprecedented-number-of-migrants-in-december-0BbBRd","Greece and Italy continued to face unprecedented number of migrants in December","2016-01-22"
"greece-asks-frontex-for-rapid-intervention-teams-in-the-aegean-islands-0swm9L","Greece asks Frontex for rapid intervention teams in the Aegean islands","2015-12-04"
"greece-s-deputy-prosecutor-of-the-supreme-court-visited-frontex-tD1qRw","Greece’s Deputy Prosecutor of the Supreme Court visited Frontex","2015-12-07"
"greece-will-host-first-frontex-operational-office-WBNAQp","Greece will host first Frontex Operational Office","2010-02-05"
"greek-turkish-land-border-jo-poseidon-land-situational-update-january-2012-tXUqGg","Greek-Turkish land border JO Poseidon Land: Situational update, January 2012","2012-02-02"
"greeks-seize-illegal-guns-on-ship-monitored-by-frontex-KcJsMr","Greeks seize illegal guns on ship monitored by Frontex","2015-09-03"
"heads-of-coast-guard-services-in-warsaw-Rgk6an","Heads of Coast Guard Services in Warsaw","2009-04-23"
"heads-of-emsa-and-frontex-discuss-cooperation-on-european-coast-guard-functions-PrSF2W","Heads of EMSA and Frontex discuss cooperation on European coast guard functions","2019-04-03"
"hera-2008-and-nautilus-2008-statistics-oP7kLN","HERA 2008 and NAUTILUS 2008 Statistics","2009-02-17"
"hera-iii-operation-It9SH3","Hera III operation","2007-04-13"
"hermes-2011-running-T7bJgL","Hermes 2011 running","2011-02-22"
"hermes-2011-starts-tomorrow-in-lampedusa-X4XZcr","Hermes 2011 Starts Tomorrow in Lampedusa","2011-02-19"
"hermes-operation-extended-OWmwti","Hermes Operation Extended","2011-03-24"
"icgv-tyr-conducts-search-and-rescue-of-450-migrants-GYoKNV","ICGV Týr conducts search and rescue of 450 migrants","2015-01-02"
"illegal-migration-of-moldovan-nationals-targeted-8iIZAj","Illegal migration of Moldovan nationals targeted","2007-06-05"
"international-border-and-coast-guard-community-gathers-in-warsaw-oIfoTR","International border and coast guard community gathers in Warsaw","2019-10-31"
"international-law-of-the-sea-seminar-organised-by-frontex-zIOkXy","International Law of the Sea - Seminar organised by Frontex","2009-12-10"
"irregular-arrivals-were-at-record-high-in-the-third-quarter-of-2013-qZCQJR","Irregular Arrivals Were at Record High in the Third Quarter of 2013","2014-01-31"
"irregular-immigration-hits-new-low-in-first-quarter-2010-facilitator-detections-up-13--ESunbS","Irregular immigration hits new low in first quarter 2010, facilitator detections up 13%","2010-07-07"
"italy-remained-under-migratory-pressure-in-august-k27zkw","Italy remained under migratory pressure in August","2016-09-15"
"italy-remained-under-migratory-pressure-in-november-WeeHRo","Italy remained under migratory pressure in November","2016-12-09"
"italy-sees-high-level-of-migratory-pressure-in-june-YBsNJn","Italy sees high level of migratory pressure in June","2016-07-19"
"jo-hermes-situational-update-SKGo7W","JO Hermes – Situational Update","2012-02-21"
"joint-easo-frontex-management-board-session-held-in-malta-V9jX1q","Joint EASO-Frontex Management Board session held in Malta","2017-02-08"
"joint-operation-agelaus-children-in-irregular-migration-HgSDR5","Joint Operation Agelaus: Children in Irregular Migration","2011-01-19"
"joint-operation-nautilus-2007-the-end-of-the-first-phase-AECBNJ","Joint Operation Nautilus 2007 – the end of the first  phase","2007-08-06"
"joint-operation-triton-extended-to-the-end-of-2015-NXCwpk","Joint Operation Triton extended to the end of 2015","2015-02-21"
"latest-trends-at-external-borders-of-the-eu-6Z3kpC","Latest Trends at external borders of the EU","2015-02-02"
"law-enforcement-and-sar-training-completed-in-ostia-JAK7yu","Law enforcement and SAR training completed in Ostia","2019-02-08"
"lessons-to-be-learned-after-the-limes-demos-C6itip","Lessons to be learned after the LIMES demos","2009-03-27"
"longest-frontex-coordinated-operation-hera-the-canary-islands-WpQlsc","Longest FRONTEX coordinated operation – HERA, the Canary Islands","2006-12-19"
"management-board-designates-fundamental-rights-officer-8IK8lm","Management Board designates Fundamental Rights Officer","2012-09-27"
"management-board-endorses-frontex-fundamental-rights-strategy-KxtacI","Management Board Endorses Frontex Fundamental Rights Strategy","2011-04-04"
"marine-pollution-thousands-of-serious-offences-exposed-in-global-operation-IrlEv6","Marine pollution: thousands of serious offences exposed in global operation","2019-12-16"
"mediterranean-transit-migration-Ok7q6j","Mediterranean Transit Migration","2007-01-22"
"member-of-siem-pilot-crew-missing-since-monday-Njmd37","Member of Siem Pilot crew missing since Monday","2015-09-15"
"member-states-continue-to-support-frontex-operations-in-greece-7Egmfg","Member States continue to support Frontex operations in Greece","2020-04-03"
"member-states-provide-291-border-guards-to-frontex-to-be-deployed-in-greece-italy-2tVnYY","Member States provide 291 border guards to Frontex to be deployed in Greece, Italy","2015-10-20"
"mercury-joint-operation-concluded--tKZRWB","Mercury Joint Operation Concluded ","2009-02-11"
"mid-level-courses-2007-60-border-guards-trained-ynRNbM","Mid-Level Courses 2007: 60 border guards trained","2007-11-16"
"migrants-forced-to-board-inflatable-rafts-at-gunpoint-bvmRKT","Migrants forced to board inflatable rafts at gunpoint","2015-02-12"
"migratory-flows-in-2017-pressure-eased-on-italy-and-greece-spain-saw-record-numbers-QK2Wcw","Migratory flows in 2017 – Pressure eased on Italy and Greece; Spain saw record numbers","2018-01-05"
"migratory-flows-in-april-overall-drop-but-more-detections-in-greece-and-spain-OGO6LA","Migratory flows in April: Overall drop, but more detections in Greece and Spain","2018-05-21"
"migratory-flows-in-august-numbers-continue-to-fall-in-italy-pressure-still-high-in-spain-y42VGs","Migratory flows in August: Numbers continue to fall in Italy, pressure still high in Spain","2017-09-18"
"migratory-flows-in-august-overall-arrivals-down-spain-accounts-for-more-than-half-of-the-total-KtkG0M","Migratory flows in August: Overall arrivals down, Spain accounts for more than half of the total","2018-09-14"
"migratory-flows-in-february-drop-in-italy-stable-in-greece-and-spain-9OWuge","Migratory flows in February: Drop in Italy, stable in Greece and Spain","2018-03-15"
"migratory-flows-in-january-arrivals-in-spain-and-greece-down-rise-in-italy-Zntmj0","Migratory flows in January: Arrivals in Spain and Greece down, rise in Italy","2018-02-13"
"migratory-flows-in-july-numbers-fall-in-italy-remain-high-in-spain-XBhJTt","Migratory flows in July: numbers fall in Italy, remain high in Spain","2017-08-16"
"migratory-flows-in-july-total-number-drops-spain-accounts-for-more-than-half-of-detections-UceVoq","Migratory flows in July: Total number drops, Spain accounts for more than half of detections","2018-08-13"
"migratory-flows-in-june-total-number-drops-spain-sees-the-biggest-number-of-arrivals-C8mP90","Migratory flows in June: Total number drops, Spain sees the biggest number of arrivals","2018-07-17"
"migratory-flows-in-march-fewer-arrivals-in-italy-JYGSWQ","Migratory flows in March: Fewer arrivals in Italy","2018-04-13"
"migratory-flows-in-may-decreasing-trend-but-pressure-remains-D6yq3Q","Migratory flows in May: Decreasing trend, but pressure remains","2018-06-18"
"migratory-flows-in-november-arrivals-down-in-italy-and-greece-rise-in-spain-obIoLa","Migratory flows in November - Arrivals down in Italy and Greece, rise in Spain","2017-12-11"
"migratory-flows-in-november-total-lower-western-mediterranean-the-most-active-route-hc6nz6","Migratory flows in November: Total lower, Western Mediterranean the most active route","2018-12-13"
"migratory-flows-in-october-down-by-a-third-spain-accounts-for-60-of-detections-ppaQPH","Migratory flows in October: Down by a third, Spain accounts for 60% of detections","2018-11-13"
"migratory-flows-in-october-overall-levels-remain-low-spain-arrivals-soar-tGrQTZ","Migratory flows in October: Overall levels remain low; Spain arrivals soar","2017-11-15"
"migratory-flows-in-september-arrivals-in-italy-lower-than-a-year-ago-more-departures-from-tunisia-and-algeria-i4mfbI","Migratory flows in September: Arrivals in Italy lower than a year ago, more departures from Tunisia and Algeria","2017-10-18"
"migratory-flows-in-september-total-down-by-a-third-spain-sees-significant-rise-nGctjY","Migratory flows in September: Total down by a third, Spain sees significant rise","2018-10-15"
"migratory-flows-remain-in-downward-trend-in-italy-after-big-drop-in-early-february-NaJ0gu","Migratory flows remain in downward trend in Italy after big drop in early February","2018-02-14"
"migratory-situation-in-april-fewer-migrants-reach-europe-l3XvUn","Migratory situation in April – Fewer migrants reach Europe","2019-05-14"
"migratory-situation-in-august-slight-increase-on-main-migratory-routes-2Xmzlk","Migratory situation in August – Slight increase on main migratory routes","2019-09-16"
"migratory-situation-in-february-detections-down-from-previous-month-7uHigt","Migratory situation in February – Detections down from previous month","2020-03-16"
"migratory-situation-in-february-poor-weather-reduces-the-number-of-detections-Uj3gnK","Migratory situation in February – Poor weather reduces the number of detections","2019-03-14"
"migratory-situation-in-january-detections-fall-except-for-central-med-onyPWK","Migratory situation in January – Detections fall, except for Central Med","2020-02-12"
"migratory-situation-in-january-western-mediterranean-accounts-for-half-of-detections-e7iKlP","Migratory situation in January – Western Mediterranean accounts for half of detections","2019-02-13"
"migratory-situation-in-july-arrivals-in-europe-up-slightly-from-previous-month-rlBoYl","Migratory situation in July – Arrivals in Europe up slightly from previous month","2019-08-13"
